"miRNA_cluster"	"subype/class"	"sign(up/down)"	"members"	"found"	"pval"	"fold_change"
"cl696_chr20"	"2"	"down"	"MI0003183/MI0017396"	"hsa-miR-499a-5p/hsa-miR-499b-3p/hsa-miR-499b-5p/hsa-miR-499a-3p"	"0/0/0.002/0.316"	"-1.12504513128946/-0.888448793522684/-0.13476723752641/-0.0732059959266773"
"cl696_chr20"	"4"	"up"	"MI0003183/MI0017396"	"hsa-miR-499a-5p/hsa-miR-499b-3p/hsa-miR-499b-5p/hsa-miR-499a-3p"	"0/0.018/0.017/0.713"	"0.623080250362468/0.405380865274332/0.080585178131007/-0.0484886044964393"
"cl708_chr20"	"1"	"up"	"MI0000747/MI0005523"	"hsa-miR-296-3p/hsa-miR-296-5p/hsa-miR-298"	"0.001/0/0.625"	"1.00178239986451/0.903235268140353/-0.00363115252464328"
"cl725_chr21"	"1"	"down"	"MI0000101/MI0000064"	"hsa-miR-99a-5p/hsa-let-7c-5p/hsa-let-7c-3p/hsa-miR-99a-3p"	"0/0.001/0.546/0.011"	"-0.799679006895448/-0.756672869452265/-0.10586032692289/-0.357616423254685"
"cl725_chr21"	"2"	"down"	"MI0000101/MI0000064"	"hsa-miR-99a-5p/hsa-let-7c-5p/hsa-let-7c-3p/hsa-miR-99a-3p"	"0/0/0.001/0"	"-1.64351522574905/-1.12721240072568/-0.855587602712189/-1.30503256321559"
"cl725_chr21"	"4"	"up"	"MI0000101/MI0000064"	"hsa-miR-99a-5p/hsa-let-7c-5p/hsa-let-7c-3p/hsa-miR-99a-3p"	"0/0/0/0"	"1.71657630837766/1.55321635222995/0.630710930364558/1.40561566740574"
"cl742_chr22"	"2"	"up"	"MI0005568/MI0000748"	"hsa-miR-130b-5p/hsa-miR-130b-3p/hsa-miR-301b-3p/hsa-miR-301b-5p"	"0/0/0.418/0.433"	"0.742059999209689/0.647130999080417/0.025513443576763/0.113812662272801"
"cl742_chr22"	"4"	"down"	"MI0005568/MI0000748"	"hsa-miR-130b-5p/hsa-miR-130b-3p/hsa-miR-301b-3p/hsa-miR-301b-5p"	"0.001/0.003/0/0.016"	"-0.49818612823594/-0.566843546387333/-0.696956460504457/-0.3629081475019"
"cl761_chr22"	"1"	"up"	"MI0000062/MI0017404/MI0000063"	"hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7b-3p/hsa-let-7a-3p/hsa-miR-4763-3p/hsa-miR-4763-5p"	"0.085/0.089/0.043/0.886/0.283/0.019"	"-0.554816728541457/0.0708196748834607/0.283480808619968/-0.018278564933319/-0.0406923181521994/0.0637567562192565"
"cl761_chr22"	"2"	"up"	"MI0000062/MI0017404/MI0000063"	"hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7b-3p/hsa-let-7a-3p/hsa-miR-4763-3p/hsa-miR-4763-5p"	"0.438/0.004/0/0.262/0.671/0.863"	"0.0675690789177116/0.647359069713723/0.844937200224716/-0.0623482971810201/0.0660666961150986/-0.00222575056703138"
"cl761_chr22"	"3"	"down"	"MI0000062/MI0017404/MI0000063"	"hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7b-3p/hsa-let-7a-3p/hsa-miR-4763-3p/hsa-miR-4763-5p"	"0.002/0/0/0.953/0.012/0.162"	"-0.805966464344957/-1.24130507602615/-1.02128710889548/0.0401237662816929/0.0306454965951534/-0.0259425559939056"
"cl761_chr22"	"4"	"up"	"MI0000062/MI0017404/MI0000063"	"hsa-let-7a-5p/hsa-let-7b-5p/hsa-let-7b-3p/hsa-let-7a-3p/hsa-miR-4763-3p/hsa-miR-4763-5p"	"0/0/0.024/0.628/0.033/0.504"	"1.085990731105/0.641825136108813/0.122423084699574/0.0245953021144875/-0.0626246821950698/-0.0109964629336612"
"cl786_chr3"	"1"	"up"	"MI0001448/MI0000465"	"hsa-miR-191-5p/hsa-miR-425-5p/hsa-miR-425-3p/hsa-miR-191-3p"	"0.251/0.004/0/0.001"	"0.140614804992267/0.393269530335082/0.610586840728357/0.399538645200795"
"cl786_chr3"	"2"	"down"	"MI0001448/MI0000465"	"hsa-miR-191-5p/hsa-miR-425-5p/hsa-miR-425-3p/hsa-miR-191-3p"	"0/0.018/0/0"	"-0.540195113126556/-0.465674150282454/-0.618602081229581/-0.262054144274241"
"cl786_chr3"	"3"	"up"	"MI0001448/MI0000465"	"hsa-miR-191-5p/hsa-miR-425-5p/hsa-miR-425-3p/hsa-miR-191-3p"	"0.623/0.037/0.135/0.028"	"0.04720678229063/0.257957650525645/0.173611192718264/0.10302027739535"
"cl822_chr3"	"2"	"up"	"MI0000438/MI0000115"	"hsa-miR-16-5p/hsa-miR-15b-5p/hsa-miR-16-2-3p/hsa-miR-15b-3p"	"0.591/0.011/0/0"	"-0.260267225291452/0.408262253629206/0.946211725327031/0.554039096834863"
"cl822_chr3"	"4"	"down"	"MI0000438/MI0000115"	"hsa-miR-16-5p/hsa-miR-15b-5p/hsa-miR-16-2-3p/hsa-miR-15b-3p"	"0.131/0/0/0"	"0.28247806456837/-0.447419266034523/-1.04612897946058/-0.957520809746674"
"cl871_chr4"	"2"	"down"	"MI0000775/MI0000774/MI0000738/MI0000773/MI0000772"	"hsa-miR-302b-3p/hsa-miR-302a-3p/hsa-miR-302d-3p/hsa-miR-302a-5p/hsa-miR-302c-3p/hsa-miR-302c-5p"	"0.035/0.047/0.151/0.354/0.467/0.471"	"-0.182705947243916/-0.0817360751191351/-0.0793911320018298/-0.0304472178965211/-0.0206122334229499/-0.00772149628446957"
"cl871_chr4"	"4"	"up"	"MI0000775/MI0000774/MI0000738/MI0000773/MI0000772"	"hsa-miR-302b-3p/hsa-miR-302a-3p/hsa-miR-302d-3p/hsa-miR-302a-5p/hsa-miR-302c-3p/hsa-miR-302c-5p"	"0/0.001/0.002/0.518/0.573/0.261"	"0.383526943622519/0.149694097428449/0.155109002578639/0.0335839493387223/0.0181503541901012/0.0079818445383318"
"cl904_chr5"	"1"	"up"	"MI0001648/MI0003673/MI0003823"	"hsa-miR-449c-5p/hsa-miR-449a/hsa-miR-449b-5p/hsa-miR-449b-3p/hsa-miR-449c-3p"	"0.008/0/0/0.001/0.176"	"1.21608675427132/1.59815248437116/0.838428594756678/0.591764868092562/0.00860810251850247"
"cl904_chr5"	"2"	"up"	"MI0001648/MI0003673/MI0003823"	"hsa-miR-449c-5p/hsa-miR-449a/hsa-miR-449b-5p/hsa-miR-449b-3p/hsa-miR-449c-3p"	"0/0/0.002/0.002/0.156"	"1.31096136703053/1.0567781671407/0.135869592879635/0.410083822044159/0.0248855707170395"
"cl904_chr5"	"3"	"down"	"MI0001648/MI0003673/MI0003823"	"hsa-miR-449c-5p/hsa-miR-449a/hsa-miR-449b-5p/hsa-miR-449b-3p/hsa-miR-449c-3p"	"0.007/0.005/0.019/0/0.656"	"-0.729700302511103/-0.860610977322046/-0.234186388951445/-0.411746079069283/-0.00526401794688931"
"cl904_chr5"	"4"	"down"	"MI0001648/MI0003673/MI0003823"	"hsa-miR-449c-5p/hsa-miR-449a/hsa-miR-449b-5p/hsa-miR-449b-3p/hsa-miR-449c-3p"	"0/0/0.004/0.042/0.149"	"-1.13795998816485/-1.02143193022816/-0.393493967359342/-0.301276421993821/-0.021367581860279"
"cl932_chr5"	"2"	"up"	"MI0000459/MI0000461"	"hsa-miR-143-3p/hsa-miR-145-5p/hsa-miR-143-5p/hsa-miR-145-3p"	"0/0.006/0.015/0"	"0.490159280754792/0.249176773345015/0.268251596873708/0.549188540167996"
"cl932_chr5"	"4"	"down"	"MI0000459/MI0000461"	"hsa-miR-143-3p/hsa-miR-145-5p/hsa-miR-143-5p/hsa-miR-145-3p"	"0/0.012/0/0"	"-0.742632591892997/-0.596116026986117/-0.64371017113699/-0.611137508791768"
"cl940_chr5"	"2"	"down"	"MI0000109/MI0007261"	"hsa-miR-103a-3p/hsa-miR-103b"	"0/0"	"-0.601208317243/-0.601208317243"
"cl940_chr5"	"3"	"up"	"MI0000109/MI0007261"	"hsa-miR-103a-3p/hsa-miR-103b"	"0.006/0.003"	"0.329812322276853/0.329812322276853"
"cl975_chr6"	"2"	"down"	"MI0000490/MI0000822"	"hsa-miR-206/hsa-miR-133b"	"0/0.001"	"-1.49960995852195/-0.729875670761429"
"cl975_chr6"	"3"	"up"	"MI0000490/MI0000822"	"hsa-miR-206/hsa-miR-133b"	"0/0.005"	"1.69358695508206/0.994490143975459"
"cl1017_chr7"	"2"	"up"	"MI0003600/MI0016686"	"hsa-miR-550a-5p/hsa-miR-550a-3p/hsa-miR-550b-2-5p/hsa-miR-550b-3p"	"0/0.001/0.005/0.01"	"0.717664961383113/0.283137347187114/0.283137347187114/0.231891476675492"
"cl1018_chr7"	"2"	"up"	"MI0003601/MI0016687"	"hsa-miR-550a-5p/hsa-miR-550a-3p/hsa-miR-550b-2-5p/hsa-miR-550b-3p"	"0/0.001/0.002/0.009"	"0.717664961383113/0.283137347187114/0.283137347187114/0.231891476675492"
"cl1034_chr7"	"3"	"up"	"MI0003674/MI0003124"	"hsa-miR-653-3p/hsa-miR-489-3p/hsa-miR-653-5p/hsa-miR-489-5p"	"0.074/0.007/0.017/0.017"	"0.480139702287036/0.601454636962764/0.0288835093322199/0.0323806173635577"
"cl1034_chr7"	"4"	"down"	"MI0003674/MI0003124"	"hsa-miR-653-3p/hsa-miR-489-3p/hsa-miR-653-5p/hsa-miR-489-5p"	"0/0/0.161/0.308"	"-0.626460263943776/-0.532556256122767/-0.0159928820592595/-0.0141665200965565"
"cl1039_chr7"	"2"	"up"	"MI0000082/MI0000095/MI0000734"	"hsa-miR-25-3p/hsa-miR-93-5p/hsa-miR-106b-3p/hsa-miR-106b-5p/hsa-miR-93-3p/hsa-miR-25-5p"	"0/0.155/0.002/0.542/0.321/0"	"0.466078787119058/0.0834086188002634/0.451945394658402/-0.238746513420362/-0.0616621513120238/0.779652041289507"
"cl1039_chr7"	"4"	"down"	"MI0000082/MI0000095/MI0000734"	"hsa-miR-25-3p/hsa-miR-93-5p/hsa-miR-106b-3p/hsa-miR-106b-5p/hsa-miR-93-3p/hsa-miR-25-5p"	"0.012/0.01/0/0.059/0.04/0.003"	"-0.3771170276909/-0.34172549485066/-0.48720491725809/-0.0631076919374136/-0.114808762626095/-0.583527304599541"
"cl1049_chr7"	"1"	"up"	"MI0000272/MI0000098/MI0000273"	"hsa-miR-182-5p/hsa-miR-183-5p/hsa-miR-96-5p/hsa-miR-182-3p/hsa-miR-183-3p/hsa-miR-96-3p"	"0/0/0/0/0/0"	"3.04292223457723/2.92165921380707/2.8686128506782/1.39767833520683/1.9405876377251/0.576483655271496"
"cl1049_chr7"	"2"	"down"	"MI0000272/MI0000098/MI0000273"	"hsa-miR-182-5p/hsa-miR-183-5p/hsa-miR-96-5p/hsa-miR-182-3p/hsa-miR-183-3p/hsa-miR-96-3p"	"0/0/0/0/0/0"	"-4.05700620231846/-4.14039335968181/-4.02043987565115/-1.94518794871842/-1.8903643147565/-0.486008839779345"
"cl1049_chr7"	"3"	"up"	"MI0000272/MI0000098/MI0000273"	"hsa-miR-182-5p/hsa-miR-183-5p/hsa-miR-96-5p/hsa-miR-182-3p/hsa-miR-183-3p/hsa-miR-96-3p"	"0/0/0/0/0/0.004"	"3.26602716284047/3.40152700193585/3.07710840846076/1.87416225222169/1.68622190605562/0.408154520554168"
"cl1049_chr7"	"4"	"down"	"MI0000272/MI0000098/MI0000273"	"hsa-miR-182-5p/hsa-miR-183-5p/hsa-miR-96-5p/hsa-miR-182-3p/hsa-miR-183-3p/hsa-miR-96-3p"	"0.002/0.002/0.014/0.003/0.005/0.016"	"-1.63381819441854/-1.62376254187298/-1.37010384620509/-1.05422659430847/-1.24423566480048/-0.341785401299861"
"cl1051_chr7"	"2"	"down"	"MI0000087/MI0000105"	"hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29b-1-5p/hsa-miR-29a-5p"	"0.013/0.001/0/0.071"	"-0.785372457736204/-0.945259445745041/-1.11568927168841/-0.235377289141593"
"cl1051_chr7"	"3"	"up"	"MI0000087/MI0000105"	"hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29b-1-5p/hsa-miR-29a-5p"	"0.106/0.011/0.033/0.388"	"0.407063542030315/0.458005019812996/0.522822354883119/0.158555778168327"
"cl1051_chr7"	"4"	"up"	"MI0000087/MI0000105"	"hsa-miR-29a-3p/hsa-miR-29b-3p/hsa-miR-29b-1-5p/hsa-miR-29a-5p"	"0.06/0.064/0.004/0.002"	"0.505655968525227/0.200358902359485/0.342656285341523/0.275811695126154"
"cl1063_chr8"	"2"	"up"	"MI0017287/MI0017291"	"hsa-miR-4659a-3p/hsa-miR-4659b-3p/hsa-miR-4659a-5p/hsa-miR-4659b-5p"	"0/0.009/0.001/0.055"	"0.441342194262296/0.090474819204234/0.0739285765849095/0.039227559557915"
"cl1076_chr8"	"1"	"up"	"MI0016014/MI0016013"	"hsa-miR-3622a-5p/hsa-miR-3622b-3p/hsa-miR-3622a-3p/hsa-miR-3622b-5p"	"0/0/0.063/0.456"	"0.54222785090601/0.349216073185625/0.145934670908376/-0.00952592985417787"
"cl1101_chr8"	"2"	"up"	"MI0016689/MI0003668"	"hsa-miR-548d-5p/hsa-miR-548aa/hsa-miR-548d-3p"	"0.016/0.007/0.004"	"0.166173165612655/0.2990983237212/0.268873824652561"
"cl1101_chr8"	"4"	"down"	"MI0016689/MI0003668"	"hsa-miR-548d-5p/hsa-miR-548aa/hsa-miR-548d-3p"	"0.003/0.078/0"	"-0.248469801301077/-0.282661022988843/-0.319532939124348"
"cl1102_chr8"	"1"	"down"	"MI0017293/MI0017290"	"hsa-miR-4662a-5p/hsa-miR-4662b/hsa-miR-4662a-3p"	"0.001/0/0.003"	"-1.10724944260935/-0.542470328108655/-0.39664192703901"
"cl1102_chr8"	"3"	"down"	"MI0017293/MI0017290"	"hsa-miR-4662a-5p/hsa-miR-4662b/hsa-miR-4662a-3p"	"0.006/0.006/0.009"	"-0.610740459067445/-0.471520634032122/-0.327992396082059"
"cl1102_chr8"	"4"	"up"	"MI0017293/MI0017290"	"hsa-miR-4662a-5p/hsa-miR-4662b/hsa-miR-4662a-3p"	"0/0/0"	"1.52884088354408/1.0547951923114/0.709740348424709"
"cl1111_chr8"	"2"	"down"	"MI0000441/MI0000255"	"hsa-miR-30d-5p/hsa-miR-30b-5p/hsa-miR-30d-3p/hsa-miR-30b-3p"	"0/0.143/0.019/0.369"	"-0.661157287555586/-0.66141301998597/-0.297317801832339/-0.0316347243239458"
"cl1111_chr8"	"3"	"up"	"MI0000441/MI0000255"	"hsa-miR-30d-5p/hsa-miR-30b-5p/hsa-miR-30d-3p/hsa-miR-30b-3p"	"0/0.009/0/0.029"	"0.624053989537976/0.586196150415952/0.525332204505746/0.326168224210909"
"cl1118_chrXXX8"	"4"	"down"	"MI0005761/MI0005761/MI0006324"	"hsa-miR-939-5p/hsa-miR-1234-3p/hsa-miR-939-3p"	"0.009/0.076/0.023"	"-0.0806402634774079/-0.055280812895458/-0.10976905143353"
"cl1145_chr9"	"1"	"up"	"MI0000060/MI0000067/MI0000065"	"hsa-let-7a-5p/hsa-let-7f-5p/hsa-let-7d-5p/hsa-let-7d-3p/hsa-let-7a-3p/hsa-let-7f-1-3p"	"0.066/0.049/0.006/0/0.889/0"	"-0.554816728541457/0.39698982390503/0.528418520720379/0.922008190212863/-0.018278564933319/0.919856371707351"
"cl1145_chr9"	"2"	"up"	"MI0000060/MI0000067/MI0000065"	"hsa-let-7a-5p/hsa-let-7f-5p/hsa-let-7d-5p/hsa-let-7d-3p/hsa-let-7a-3p/hsa-let-7f-1-3p"	"0.444/0.026/0.003/0/0.259/0"	"0.0675690789177116/0.178138021434421/0.381031488226804/0.596942347989246/-0.0623482971810201/0.545755318660302"
"cl1145_chr9"	"3"	"down"	"MI0000060/MI0000067/MI0000065"	"hsa-let-7a-5p/hsa-let-7f-5p/hsa-let-7d-5p/hsa-let-7d-3p/hsa-let-7a-3p/hsa-let-7f-1-3p"	"0/0/0/0/0.947/0.055"	"-0.805966464344957/-0.557305248528334/-0.630929620925465/-0.377168872701277/0.0401237662816929/-0.360824432382167"
"cl1145_chr9"	"4"	"down"	"MI0000060/MI0000067/MI0000065"	"hsa-let-7a-5p/hsa-let-7f-5p/hsa-let-7d-5p/hsa-let-7d-3p/hsa-let-7a-3p/hsa-let-7f-1-3p"	"0/0.072/0.637/0/0.591/0.001"	"1.085990731105/0.162302212416001/-0.0185243503334259/-0.697677198512944/0.0245953021144875/-0.668721521100697"
"cl1147_chr9"	"1"	"up"	"MI0000439/MI0000440/MI0014181/MI0000080"	"hsa-miR-27b-3p/hsa-miR-24-3p/hsa-miR-3074-5p/hsa-miR-23b-3p/hsa-miR-27b-5p/hsa-miR-3074-3p/hsa-miR-23b-5p/hsa-miR-24-1-5p"	"0/0/0/0/0/0/0/0"	"2.90524345292623/1.98991205760875/1.97212803851388/2.37113965546179/2.59793565193753/1.49735302074651/2.22033636785707/1.74397602661487"
"cl1147_chr9"	"2"	"down"	"MI0000439/MI0000440/MI0014181/MI0000080"	"hsa-miR-27b-3p/hsa-miR-24-3p/hsa-miR-3074-5p/hsa-miR-23b-3p/hsa-miR-27b-5p/hsa-miR-3074-3p/hsa-miR-23b-5p/hsa-miR-24-1-5p"	"0.427/0.142/0.018/0.026/0.396/0.001/0.492/0.001"	"-0.413978661769969/-0.43188094479201/-0.48982575470731/-0.724546285831265/-0.294538635890965/-0.77234201461083/-0.332684169515935/-0.737941230598211"
"cl1147_chr9"	"4"	"down"	"MI0000439/MI0000440/MI0014181/MI0000080"	"hsa-miR-27b-3p/hsa-miR-24-3p/hsa-miR-3074-5p/hsa-miR-23b-3p/hsa-miR-27b-5p/hsa-miR-3074-3p/hsa-miR-23b-5p/hsa-miR-24-1-5p"	"0/0/0.015/0.002/0/0.244/0.001/0.055"	"-0.939343875090323/-0.72546285298345/-0.681379022685013/-0.583655160807528/-0.887021066360024/-0.193317957834091/-0.714413019497287/-0.361780709135385"
"cl1157_chr9"	"2"	"down"	"MI0000269/MI0000683"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-2-3p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0.094/0.023/0.02/0.002/0.015"	"-0.38910355570833/-0.385124163078384/0.748055289764006/-0.662908327641996/-0.397308106463138"
"cl1157_chr9"	"3"	"up"	"MI0000269/MI0000683"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-2-3p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0/0/0.55/0/0"	"1.18691935610576/1.38966385128338/0.186861235822951/0.693659617890445/1.14987165104657"
"cl1157_chr9"	"4"	"down"	"MI0000269/MI0000683"	"hsa-miR-181a-5p/hsa-miR-181b-5p/hsa-miR-181a-2-3p/hsa-miR-181a-3p/hsa-miR-181b-3p"	"0.001/0/0/0.011/0"	"-0.861228663828727/-1.16831078356611/-1.82044504151143/0.428273183556384/-0.793649870320132"
"cl1161_chr9"	"2"	"up"	"MI0000282/MI0014182"	"hsa-miR-199b-3p/hsa-miR-199b-5p/hsa-miR-3154"	"0/0/0.362"	"2.13256667539943/2.36118164091192/-0.0681485720259451"
"cl1161_chr9"	"4"	"down"	"MI0000282/MI0014182"	"hsa-miR-199b-3p/hsa-miR-199b-5p/hsa-miR-3154"	"0/0/0"	"-1.8547000098563/-2.4179918972044/-0.266240738135163"
"cl1165_chr9"	"3"	"up"	"MI0016832/MI0016090/MI0016834/MI0016411/MI0016835/MI0016836/MI0016837"	"hsa-miR-3689a-5p/hsa-miR-3689b-5p/hsa-miR-3689e/hsa-miR-3689f/hsa-miR-3689b-3p/hsa-miR-3689c"	"0.023/0.018/0.019/0.205/0.868/0.867"	"0.0656001871945146/0.0656001871945146/0.0656001871945146/0.0215278431568485/0.000731928430338967/0.000731928430338967"
"cl1187_chrX"	"1"	"down"	"MI0000298/MI0000299"	"hsa-miR-221-3p/hsa-miR-222-3p/hsa-miR-221-5p/hsa-miR-222-5p"	"0.191/0.042/0.045/0.475"	"-0.244607372083121/-0.36442116810058/-0.323916519847012/-0.0600048336196495"
"cl1187_chrX"	"2"	"up"	"MI0000298/MI0000299"	"hsa-miR-221-3p/hsa-miR-222-3p/hsa-miR-221-5p/hsa-miR-222-5p"	"0/0.001/0.021/0.879"	"0.845822270584641/0.692649067716215/0.556818979181279/-0.0199019995733367"
"cl1187_chrX"	"3"	"up"	"MI0000298/MI0000299"	"hsa-miR-221-3p/hsa-miR-222-3p/hsa-miR-221-5p/hsa-miR-222-5p"	"0.431/0.064/0.018/0.008"	"0.349740893409537/0.424469378516114/0.363701181831742/0.128070668037571"
"cl1187_chrX"	"4"	"down"	"MI0000298/MI0000299"	"hsa-miR-221-3p/hsa-miR-222-3p/hsa-miR-221-5p/hsa-miR-222-5p"	"0/0.001/0/0.055"	"-0.92756178983006/-0.797645521773445/-0.644830862783881/-0.0744019416672613"
"cl1189_chrX"	"4"	"up"	"MI0003205/MI0000484/MI0003184/MI0000762/MI0003185/MI0015903/MI0003684/MI0003186"	"hsa-miR-532-5p/hsa-miR-501-3p/hsa-miR-502-3p/hsa-miR-500a-3p/hsa-miR-362-5p/hsa-miR-532-3p/hsa-miR-660-5p/hsa-miR-500a-5p/hsa-miR-188-5p/hsa-miR-362-3p/hsa-miR-501-5p/hsa-miR-660-3p/hsa-miR-188-3p/hsa-miR-500b-3p/hsa-miR-500b-5p"	"0.397/0.252/0.148/0.505/0.122/0.037/0.145/0.035/0.043/0.324/0.017/0.157/0.669/0.28/0.105"	"-0.0836200477896549/0.204569524426494/0.22064347622304/0.181342061945588/0.336732341221951/0.426108036876579/0.574835936705286/0.495766530457554/-0.330230874251166/0.414495642491119/0.498596162498771/0.183702454085054/-0.0500928309336962/0.00286138015298582/0.0364912911347903"
"cl1190_chrX"	"2"	"up"	"MI0000100/MI0000068"	"hsa-let-7f-5p/hsa-miR-98-5p/hsa-let-7f-2-3p/hsa-miR-98-3p"	"0.041/0.052/0.009/0.537"	"0.178138021434421/-0.186607174637254/0.00729023052601168/-0.149383278176323"
"cl1190_chrX"	"3"	"down"	"MI0000100/MI0000068"	"hsa-let-7f-5p/hsa-miR-98-5p/hsa-let-7f-2-3p/hsa-miR-98-3p"	"0/0.003/0.165/0.002"	"-0.557305248528334/-0.344175253539682/-0.125327427765004/0.253230685499751"
"cl1190_chrX"	"4"	"up"	"MI0000100/MI0000068"	"hsa-let-7f-5p/hsa-miR-98-5p/hsa-let-7f-2-3p/hsa-miR-98-3p"	"0.062/0.019/0.041/0"	"0.162302212416001/0.295344717942468/0.0414339408641221/-0.66021805902558"
"cl1191_chrX"	"3"	"up"	"MI0019149/MI0016906"	"hsa-miR-4536-5p/hsa-miR-4536-3p"	"0.043/0.012"	"0.132801680010482/0.0354757428122488"
"cl1195_chrX"	"1"	"down"	"MI0003685/MI0005566/MI0016684"	"hsa-miR-374b-5p/hsa-miR-374c-3p/hsa-miR-421/hsa-miR-374b-3p/hsa-miR-374c-5p"	"0.002/0.003/0.001/0/0.158"	"-0.508437276896655/-0.508437276896655/-0.521984343351324/-0.629550885148665/-0.0977537112067739"
"cl1195_chrX"	"3"	"down"	"MI0003685/MI0005566/MI0016684"	"hsa-miR-374b-5p/hsa-miR-374c-3p/hsa-miR-421/hsa-miR-374b-3p/hsa-miR-374c-5p"	"0.023/0.019/0.278/0/0.009"	"-0.231392259961105/-0.231392259961105/0.076293234314147/-0.528587038030034/-0.452836635998528"
"cl1195_chrX"	"4"	"up"	"MI0003685/MI0005566/MI0016684"	"hsa-miR-374b-5p/hsa-miR-374c-3p/hsa-miR-421/hsa-miR-374b-3p/hsa-miR-374c-5p"	"0.014/0.013/0/0/0.041"	"0.375054781694698/0.375054781694698/0.597567689753003/0.544954442534418/0.42298412847211"
"cl1196_chrX"	"2"	"up"	"MI0003516/MI0000782"	"hsa-miR-374a-5p/hsa-miR-374a-3p/hsa-miR-545-3p/hsa-miR-545-5p"	"0/0/0.867/0.365"	"0.188717815741313/0.390896444371816/-0.0261756530300238/-0.0643395913291645"
"cl1196_chrX"	"3"	"down"	"MI0003516/MI0000782"	"hsa-miR-374a-5p/hsa-miR-374a-3p/hsa-miR-545-3p/hsa-miR-545-5p"	"0.002/0/0.662/0.718"	"-0.338998862565197/-0.499612274693632/-0.0535974403722322/-0.0282538589833744"
"cl1209_chrX"	"1"	"down"	"MI0008333/MI0003758"	"hsa-miR-1264/hsa-miR-1912"	"0/0.003"	"-1.62284779003771/-1.20601116718401"
"cl1209_chrX"	"2"	"down"	"MI0008333/MI0003758"	"hsa-miR-1264/hsa-miR-1912"	"0/0"	"-1.81554016177618/-1.33462826187692"
"cl1209_chrX"	"4"	"up"	"MI0008333/MI0003758"	"hsa-miR-1264/hsa-miR-1912"	"0/0"	"2.55879813415706/1.95926006145157"
"cl1216_chrX"	"1"	"down"	"MI0000764/MI0000094/MI0000075/MI0001519/MI0001518/MI0000113"	"hsa-miR-92a-3p/hsa-miR-19b-3p/hsa-miR-363-3p/hsa-miR-20b-5p/hsa-miR-106a-5p/hsa-miR-18b-5p/hsa-miR-363-5p/hsa-miR-20b-3p/hsa-miR-106a-3p/hsa-miR-19b-2-5p/hsa-miR-92a-2-5p/hsa-miR-18b-3p"	"0.082/0.048/0/0/0.206/0.557/0.001/0.039/0.514/0.597/0.646/0.194"	"0.311053918302106/0.599215515462026/-1.03936251167118/-0.626766536092513/-0.221105709344843/-0.198801348568294/-0.245703407312714/-0.336557305465047/-0.0553301280285916/0.00244743865149086/-0.00497171524786353/-0.0377753035267434"
"cl1216_chrX"	"2"	"up"	"MI0000764/MI0000094/MI0000075/MI0001519/MI0001518/MI0000113"	"hsa-miR-92a-3p/hsa-miR-19b-3p/hsa-miR-363-3p/hsa-miR-20b-5p/hsa-miR-106a-5p/hsa-miR-18b-5p/hsa-miR-363-5p/hsa-miR-20b-3p/hsa-miR-106a-3p/hsa-miR-19b-2-5p/hsa-miR-92a-2-5p/hsa-miR-18b-3p"	"0/0.42/0/0.002/0/0.197/0.035/0.002/0.811/0.027/0.057/0.076"	"0.987432335394751/-0.329443533854906/0.834368453363989/0.618169041886728/0.542887717245169/0.208390577212453/0.296208129119218/0.340009278778677/0.04703546483708/0.0206947721955408/0.0103559052727788/0.00684199323744816"
"cl1216_chrX"	"4"	"down"	"MI0000764/MI0000094/MI0000075/MI0001519/MI0001518/MI0000113"	"hsa-miR-92a-3p/hsa-miR-19b-3p/hsa-miR-363-3p/hsa-miR-20b-5p/hsa-miR-106a-5p/hsa-miR-18b-5p/hsa-miR-363-5p/hsa-miR-20b-3p/hsa-miR-106a-3p/hsa-miR-19b-2-5p/hsa-miR-92a-2-5p/hsa-miR-18b-3p"	"0/0/0.407/0.044/0.002/0/0.668/0.942/0.868/0.351/0.638/0.151"	"-1.51283684068344/-0.502860311790723/-0.109769840836189/-0.260305806135839/-0.438294359193696/-0.624626741526448/-0.0754998654255558/0.0142239560520855/-0.00445104985240555/-0.00691549431955294/0.000189310843706271/-0.0278886335596445"
"cl1217_chrX"	"1"	"up"	"MI0005531/MI0001652/MI0003187/MI0003686/MI0003188/MI0001446"	"hsa-miR-450a-5p/hsa-miR-450b-5p/hsa-miR-542-3p/hsa-miR-424-3p/hsa-miR-503-5p/hsa-miR-424-5p/hsa-miR-542-5p/hsa-miR-503-3p"	"0.002/0.003/0/0.019/0.005/0.006/0.001/0.002"	"1.08230401871822/1.20234402978272/1.22445026138959/0.726378677772725/1.00453425916704/1.00316842403161/0.855972922033922/0.0803852832001756"
